Purchase Order ID,Purchase Order Date,Branch ID,Branch Name,Delivery Date,Purchase Order Number,Reference#,Purchase Order Status,Vendor Name,HSN/SAC,Is Tax Calculated on Label Price,Source of Supply,Destination of Supply,GST Treatment,GST Identification Number (GSTIN),Is Inclusive Tax,Currency Code,Exchange Rate,Template Name,Reference No,Delivery Instructions,Terms & Conditions,Shipment preference,Expected Arrival Date,Account,Account Code,Item Price,Item Name,Product ID,SKU,UPC,MPN,EAN,ISBN,Item Desc,QuantityOrdered,QuantityCancelled,QuantityReceived,QuantityBilled,Usage unit,Warehouse Name,Discount Type,Is Discount Before Tax,Discount,Discount Amount,Tax ID,Item Tax,Item Tax %,Item Tax Amount,Item Tax Type,Item Exemption Code,Item Type,Reverse Charge Tax Name,Reverse Charge Tax Rate,Reverse Charge Tax Type,Item Total,Total,Adjustment,Adjustment Description,Entity Discount Percent,Entity Discount Amount,Discount Account,Discount Account Code,Supply Type,MRP,Loaction,Project ID,Project Name,Payment Terms,Payment Terms Label,Attention,Address,City,State,Country,Code,Phone,Deliver To Customer,Recipient Address,Recipient City,Recipient State,Recipient Country,Recipient Postal Code,Recipient Phone,TDS Name,TDS Section Code,TDS Section,TDS Percentage,TDS Amount,TCS Tax Name,TCS Percentage,TCS Amount,Nature Of Collection,Submitted By,Approved By,Submitted Date,Approved Date,CF.PO Created By/ Resolved By,CF.Payment terms 
99381000000154083,2019-07-24,99381000000098082,Cochin,,PO-00004,PI NO. 190723,Billed,Meezan electronic scales Pvt Ltd,84729090,FALSE,KL,KL,business_gst,32AAECM1277C1ZY,false,INR,1.000000000000,Compact 1,PI NO. 190723,,,,,Cost of Goods Sold,,5124.00,Billing Counter CCM,99381000000302452,AL66,,,,,,200.00,0.00,0.00,200.00,nos,Cochin,entity_level,true,0.00,0.0,99381000000006208,GST18,18.00,184464.00,Tax Group,,goods,,,,1024800.00,1210208.00,0.00,Adjustment,0.00,0.000,,,,,,,,,,,,,,,,,,HMT  ROAD,Cochin,Kerala,India,683503,,,,,,0.000,,,,,,,,,,
99381000000154083,2019-07-24,99381000000098082,Cochin,,PO-00004,PI NO. 190723,Billed,Meezan electronic scales Pvt Ltd,84734090,FALSE,KL,KL,business_gst,32AAECM1277C1ZY,false,INR,1.000000000000,Compact 1,PI NO. 190723,,,,,Cost of Goods Sold,,800.00,CCM SPARE,99381000000302471,CCMSPARE,,,,,,1.00,0.00,0.00,1.00,,Cochin,entity_level,true,0.00,0.0,99381000000006208,GST18,18.00,144.00,Tax Group,,goods,,,,800.00,1210208.00,0.00,Adjustment,0.00,0.000,,,,,,,,,,,,,,,,,,HMT  ROAD,Cochin,Kerala,India,683503,,,,,,0.000,,,,,,,,,,
99381000000194013,2019-08-09,99381000000098082,Cochin,2019-08-09,PO-00005,,Billed,Meezan electronic scales Pvt Ltd,84701000,FALSE,KL,KL,business_gst,32AAECM1277C1ZY,false,INR,1.000000000000,Standard Template,,,,,,Cost of Goods Sold,,7430.00,Electronic cash register,99381000000194004,ECR,,,,,Wifi inbuilt,50.00,0.00,0.00,50.00,nos,Cochin,entity_level,true,0.00,0.0,99381000000006208,GST18,18.00,66870.00,Tax Group,,goods,,,,371500.00,4280450.00,0.00,Adjustment,0.00,0.000,,,,,,,,,,Interweighing Pvt LTD,"Regd office : 49/468A, CITY CENTER 2F VYTTILA ,ERNAKULAM, 682019",COCHIN,Kerala,India,683503,8803333444,,,,,,,,,,,,0.000,,,,,,,,,,
99381000000194013,2019-08-09,99381000000098082,Cochin,2019-08-09,PO-00005,,Billed,Meezan electronic scales Pvt Ltd,84231000,FALSE,KL,KL,business_gst,32AAECM1277C1ZY,false,INR,1.000000000000,Standard Template,,,,,,Cost of Goods Sold,,12500.00,Label Printing scale,99381000000194633,Q8LBL,,,,,,100.00,0.00,0.00,100.00,nos,Cochin,entity_level,true,0.00,0.0,99381000000006208,GST18,18.00,225000.00,Tax Group,,goods,,,,1250000.00,4280450.00,0.00,Adjustment,0.00,0.000,,,,,,,,,,Interweighing Pvt LTD,"Regd office : 49/468A, CITY CENTER 2F VYTTILA ,ERNAKULAM, 682019",COCHIN,Kerala,India,683503,8803333444,,,,,,,,,,,,0.000,,,,,,,,,,
99381000000194013,2019-08-09,99381000000098082,Cochin,2019-08-09,PO-00005,,Billed,Meezan electronic scales Pvt Ltd,84231000,FALSE,KL,KL,business_gst,32AAECM1277C1ZY,false,INR,1.000000000000,Standard Template,,,,,,Cost of Goods Sold,,7400.00,ECS 12  4W Printer,99381000000343190,ECS4W,,,,,,200.00,0.00,0.00,200.00,nos,Cochin,entity_level,true,0.00,0.0,99381000000006208,GST18,18.00,266400.00,Tax Group,,goods,,,,1480000.00,4280450.00,0.00,Adjustment,0.00,0.000,,,,,,,,,,Interweighing Pvt LTD,"Regd office : 49/468A, CITY CENTER 2F VYTTILA ,ERNAKULAM, 682019",COCHIN,Kerala,India,683503,8803333444,,,,,,,,,,,,0.000,,,,,,,,,,
99381000000194013,2019-08-09,99381000000098082,Cochin,2019-08-09,PO-00005,,Billed,Meezan electronic scales Pvt Ltd,84231000,FALSE,KL,KL,business_gst,32AAECM1277C1ZY,false,INR,1.000000000000,Standard Template,,,,,,Cost of Goods Sold,,10500.00,ECS Indicator,99381000000343199,ECSIND,,,,,,25.00,0.00,0.00,25.00,nos,Cochin,entity_level,true,0.00,0.0,99381000000006208,GST18,18.00,47250.00,Tax Group,,goods,,,,262500.00,4280450.00,0.00,Adjustment,0.00,0.000,,,,,,,,,,Interweighing Pvt LTD,"Regd office : 49/468A, CITY CENTER 2F VYTTILA ,ERNAKULAM, 682019",COCHIN,Kerala,India,683503,8803333444,,,,,,,,,,,,0.000,,,,,,,,,,
99381000000194013,2019-08-09,99381000000098082,Cochin,2019-08-09,PO-00005,,Billed,Meezan electronic scales Pvt Ltd,84231000,FALSE,KL,KL,business_gst,32AAECM1277C1ZY,false,INR,1.000000000000,Standard Template,,,,,,Cost of Goods Sold,,1690.00,Cash Box,99381000000343208,ECSCD,,,,,,50.00,0.00,0.00,50.00,nos,Cochin,entity_level,true,0.00,0.0,99381000000006208,GST18,18.00,15210.00,Tax Group,,goods,,,,84500.00,4280450.00,0.00,Adjustment,0.00,0.000,,,,,,,,,,Interweighing Pvt LTD,"Regd office : 49/468A, CITY CENTER 2F VYTTILA ,ERNAKULAM, 682019",COCHIN,Kerala,India,683503,8803333444,,,,,,,,,,,,0.000,,,,,,,,,,
99381000000194013,2019-08-09,99381000000098082,Cochin,2019-08-09,PO-00005,,Billed,Meezan electronic scales Pvt Ltd,84239020,FALSE,KL,KL,business_gst,32AAECM1277C1ZY,false,INR,1.000000000000,Standard Template,,,,,,Inventory Asset,,8950.00,Floor Scale 1.2mx1.2m,99381000000035245,PLT1200,,,,,,20.00,0.00,0.00,20.00,nos,Cochin,entity_level,true,0.00,0.0,99381000000006208,GST18,18.00,32220.00,Tax Group,,goods,,,,179000.00,4280450.00,0.00,Adjustment,0.00,0.000,,,,,,,,,,Interweighing Pvt LTD,"Regd office : 49/468A, CITY CENTER 2F VYTTILA ,ERNAKULAM, 682019",COCHIN,Kerala,India,683503,8803333444,,,,,,,,,,,,0.000,,,,,,,,,,
99381000000194648,2019-08-10,99381000000098082,Cochin,,PO-00006,,Billed,Meezan electronic scales Pvt Ltd,84231000,FALSE,KL,KL,business_gst,32AAECM1277C1ZY,false,INR,1.000000000000,Standard Template,,,,,,Cost of Goods Sold,,12500.00,Barcode Label Printing scale,99381000000194633,Q8LBL,,,,,,40.00,0.00,0.00,40.00,nos,Cochin,entity_level,true,0.00,0.0,99381000000006208,GST18,18.00,90000.00,Tax Group,,goods,,,,500000.00,737500.00,0.00,Adjustment,0.00,0.000,,,,,,,,,,Yes Weigh ,"Regd office : 49/468A, CITY CENTER 2F VYTTILA ,ERNAKULAM, 682019",COCHIN,Kerala,India,683503,8803333444,,,,,,,,,,,,0.000,,,,,,,,,,
99381000000194648,2019-08-10,99381000000098082,Cochin,,PO-00006,,Billed,Meezan electronic scales Pvt Ltd,84231000,FALSE,KL,KL,business_gst,32AAECM1277C1ZY,false,INR,1.000000000000,Standard Template,,,,,,Cost of Goods Sold,,12500.00,Label Printing scale F&R,99381000000226107,Q8PCK,,,,,,10.00,0.00,0.00,10.00,no,Cochin,entity_level,true,0.00,0.0,99381000000006208,GST18,18.00,22500.00,Tax Group,,goods,,,,125000.00,737500.00,0.00,Adjustment,0.00,0.000,,,,,,,,,,Yes Weigh ,"Regd office : 49/468A, CITY CENTER 2F VYTTILA ,ERNAKULAM, 682019",COCHIN,Kerala,India,683503,8803333444,,,,,,,,,,,,0.000,,,,,,,,,,
