SalesOrder ID,Order Date,Expected Shipment Date,SalesOrder Number,Status,Custom Status,Customer ID,Customer Name,Branch ID,Branch Name,Place of Supply,Place of Supply(With State Code),GST Treatment,GST Identification Number (GSTIN),Is Export Without LUT/Bond,Tax Collected From Customer,Is Inclusive Tax,Reference#,Template Name,Currency Code,Exchange Rate,Discount Type,Is Discount Before Tax,Entity Discount Amount,Entity Discount Percent,Item Name,Product ID,SKU,UPC,MPN,EAN,ISBN,Kit Combo Item Name,Account,Account Code,Item Desc,QuantityOrdered,QuantityInvoiced,QuantityCancelled,QuantityPacked,Usage unit,Warehouse Name,Item Price,MRP,Discount,Discount Amount,HSN/SAC,Is Tax Calculated on Label Price,Supply Type,Tax ID,Item Tax,Item Tax %,Item Tax Amount,Item Tax Type,Reverse Charge Tax Name,Reverse Charge Tax Rate,Reverse Charge Tax Type,CGST Rate %,SGST Rate %,IGST Rate %,CESS Rate %,CGST(FCY),SGST(FCY),IGST(FCY),CESS(FCY),CGST,SGST,IGST,CESS,Item Tax Exemption Reason,Item Type,Loaction,Project ID,Project Name,Item Total,SubTotal,Total,Shipping Charge,Shipping Charge Tax ID,Shipping Charge Tax Amount,Shipping Charge Tax Name,Shipping Charge Tax %,Shipping Charge Tax Type,Shipping Charge Tax Exemption Code,Shipping Charge SAC Code,Adjustment,Adjustment Description,Sales person,Payment Terms,Payment Terms Label,Notes,Terms & Conditions,Delivery Method,Source,Billing Address,Billing Street2,Billing City,Billing State,Billing Country,Billing Code,Billing Fax,Billing Phone,Shipping Address,Shipping Street2,Shipping City,Shipping State,Shipping Country,Shipping Code,Shipping Fax,Shipping Phone,TDS Name,TDS Percentage,TDS Section Code,TDS Section,TDS Amount,TCS Tax Name,TCS Percentage,TCS Amount,Nature Of Collection,Item.CF.No of pcs in Master carton,CF.Mode of Transport
99381000017622152,2024-10-04,,SO-12517,invoiced,,99381000000112170,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,99381000003083031,Head Office,KL,32-Kerala,business_gst,32AAECM1277C1ZY,NO,NO,false,,Simple,INR,1.00,entity_level,true,0.000,0.00,ECS5W INTERFACE BOARD,99381000000306315,ECS812,,,,,,Sales,,,2.00,2.00,0.00,0.00,nos,Head Office,250.00,,0.00,0.0,84239020,FALSE,Taxable,99381000000006208,GST18,18.00,90.00,Tax Group,,,,9.00,9.00,0.00,0.00,45.00,45.00,0.00,0.00,45.00,45.00,0.00,0.00,,goods,,,,500.00,10680.00,12602.00,0.00,,,,,,,,0.00,Adjustment,Eldho (Kerala),0,Due On Receipt,"Bank Details
For Machine purchase                                                  
INTERWEIGHING PRIVATE LIMITED                            
ACCOUNT NO-3812693712                                          
KOTAK MAHINDRA BANK                                               
KARAMANA. Trivandrum                                               
IFSC  -  KKBK0009206  

For Spare and Cloud    
INTERWEIGHING PRIVATE LIMITED   
ACCOUNT NO-001005013936
ICICI BANK
MG ROAD,ERNAKULAM
IFSC - ICIC0000010","1. Validity : 30 days from the date of issue       
2. Payment Mode : IMPS/NEFT/RTGS               
3. Payment terms : 100% advance .                  
",,1,"8/308A Meezan Tower
Calicut Road, Manjeri",,Manjeri,Kerala,India,676121,,9446157730,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,9446157730,,0.00,,,0.000,,,,,,
99381000017622152,2024-10-04,,SO-12517,invoiced,,99381000000112170,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,99381000003083031,Head Office,KL,32-Kerala,business_gst,32AAECM1277C1ZY,NO,NO,false,,Simple,INR,1.00,entity_level,true,0.000,0.00,Q9LBL PRINTER MOTHERBOARD,99381000008802067,Q9719,,,,,,Sales,,,2.00,2.00,0.00,0.00,nos,Head Office,400.00,,0.00,0.0,84239020,FALSE,Taxable,99381000000006208,GST18,18.00,144.00,Tax Group,,,,9.00,9.00,0.00,0.00,72.00,72.00,0.00,0.00,72.00,72.00,0.00,0.00,,goods,,,,800.00,10680.00,12602.00,0.00,,,,,,,,0.00,Adjustment,Eldho (Kerala),0,Due On Receipt,"Bank Details
For Machine purchase                                                  
INTERWEIGHING PRIVATE LIMITED                            
ACCOUNT NO-3812693712                                          
KOTAK MAHINDRA BANK                                               
KARAMANA. Trivandrum                                               
IFSC  -  KKBK0009206  

For Spare and Cloud    
INTERWEIGHING PRIVATE LIMITED   
ACCOUNT NO-001005013936
ICICI BANK
MG ROAD,ERNAKULAM
IFSC - ICIC0000010","1. Validity : 30 days from the date of issue       
2. Payment Mode : IMPS/NEFT/RTGS               
3. Payment terms : 100% advance .                  
",,1,"8/308A Meezan Tower
Calicut Road, Manjeri",,Manjeri,Kerala,India,676121,,9446157730,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,9446157730,,0.00,,,0.000,,,,,,
99381000017619055,2024-10-04,,SO-12518,invoiced,,99381000005496103,MALABAR SCALES- Thirssur,99381000000098082,Cochin,KL,32-Kerala,business_registered_composition,32APLPM0458E2Z3,NO,NO,false,,Simple,INR,1.00,entity_level,true,0.000,0.00,Bill Printing scale Q8POS,99381000000011617,ECS5W,,,,,,Sales,,Make:YESWEIGH  Model:YS-30   Max:30kg  e:5g  Min:100g  Class:III,1.00,1.00,0.00,0.00,nos,Cochin,15500.00,,0.00,0.0,84231000,FALSE,Taxable,99381000000006208,GST18,18.00,2790.00,Tax Group,,,,9.00,9.00,0.00,0.00,1395.00,1395.00,0.00,0.00,1395.00,1395.00,0.00,0.00,,goods,,,,15500.00,16048.00,18937.00,0.00,,,,,,,,0.00,Adjustment,Binsha (Inside Kerala),15,Net 15,"Bank Details
For Machine purchase                                                  
INTERWEIGHING PRIVATE LIMITED                            
ACCOUNT NO-3812693712                                          
KOTAK MAHINDRA BANK                                               
KARAMANA. Trivandrum                                               
IFSC  -  KKBK0009206  

For Spare and Cloud    
INTERWEIGHING PRIVATE LIMITED   
ACCOUNT NO-001005013936
ICICI BANK
MG ROAD,ERNAKULAM
IFSC - ICIC0000010","1. Validity : 30 days from the date of issue       
2. Payment Mode : IMPS/NEFT/RTGS               
3. Payment terms : 100% advance .                  
",,1,"Garden Complex,2nd floor",Near Govt Hospital,"Kodugallur,Thrissur",Kerala,,680664,,,"Garden Complex,2nd floor",Near Govt Hospital,"Kodugallur,Thrissur",Kerala,,680664,,,,0.00,,,0.000,,,,,2,
99381000017619055,2024-10-04,,SO-12518,invoiced,,99381000005496103,MALABAR SCALES- Thirssur,99381000000098082,Cochin,KL,32-Kerala,business_registered_composition,32APLPM0458E2Z3,NO,NO,false,,Simple,INR,1.00,entity_level,true,0.000,0.00,Freight Charges,99381000000557009,COCS,,,,,,Sales,,,7.00,7.00,0.00,0.00,kg,,9.00,,0.00,0.0,996819,FALSE,Taxable,99381000000006208,GST18,18.00,11.34,Tax Group,,,,9.00,9.00,0.00,0.00,5.67,5.67,0.00,0.00,5.67,5.67,0.00,0.00,,service,,,,63.00,16048.00,18937.00,0.00,,,,,,,,0.00,Adjustment,Binsha (Inside Kerala),15,Net 15,"Bank Details
For Machine purchase                                                  
INTERWEIGHING PRIVATE LIMITED                            
ACCOUNT NO-3812693712                                          
KOTAK MAHINDRA BANK                                               
KARAMANA. Trivandrum                                               
IFSC  -  KKBK0009206  

For Spare and Cloud    
INTERWEIGHING PRIVATE LIMITED   
ACCOUNT NO-001005013936
ICICI BANK
MG ROAD,ERNAKULAM
IFSC - ICIC0000010","1. Validity : 30 days from the date of issue       
2. Payment Mode : IMPS/NEFT/RTGS               
3. Payment terms : 100% advance .                  
",,1,"Garden Complex,2nd floor",Near Govt Hospital,"Kodugallur,Thrissur",Kerala,,680664,,,"Garden Complex,2nd floor",Near Govt Hospital,"Kodugallur,Thrissur",Kerala,,680664,,,,0.00,,,0.000,,,,,,
99381000017619055,2024-10-04,,SO-12518,invoiced,,99381000005496103,MALABAR SCALES- Thirssur,99381000000098082,Cochin,KL,32-Kerala,business_registered_composition,32APLPM0458E2Z3,NO,NO,false,,Simple,INR,1.00,entity_level,true,0.000,0.00,Government Stamping Fee /Expense for 30 kg,99381000000186027,SF30,,,,,,Sales,,,1.00,1.00,0.00,0.00,nos,Cochin,485.00,,0.00,0.0,76061190,FALSE,Taxable,99381000000006208,GST18,18.00,87.30,Tax Group,,,,9.00,9.00,0.00,0.00,43.65,43.65,0.00,0.00,43.65,43.65,0.00,0.00,,goods,,,,485.00,16048.00,18937.00,0.00,,,,,,,,0.00,Adjustment,Binsha (Inside Kerala),15,Net 15,"Bank Details
For Machine purchase                                                  
INTERWEIGHING PRIVATE LIMITED                            
ACCOUNT NO-3812693712                                          
KOTAK MAHINDRA BANK                                               
KARAMANA. Trivandrum                                               
IFSC  -  KKBK0009206  

For Spare and Cloud    
INTERWEIGHING PRIVATE LIMITED   
ACCOUNT NO-001005013936
ICICI BANK
MG ROAD,ERNAKULAM
IFSC - ICIC0000010","1. Validity : 30 days from the date of issue       
2. Payment Mode : IMPS/NEFT/RTGS               
3. Payment terms : 100% advance .                  
",,1,"Garden Complex,2nd floor",Near Govt Hospital,"Kodugallur,Thrissur",Kerala,,680664,,,"Garden Complex,2nd floor",Near Govt Hospital,"Kodugallur,Thrissur",Kerala,,680664,,,,0.00,,,0.000,,,,,,
99381000017619092,2024-10-04,,SO-12519,invoiced,,99381000005496103,MALABAR SCALES- Thirssur,99381000003083031,Head Office,KL,32-Kerala,business_registered_composition,32APLPM0458E2Z3,NO,NO,false,,Simple,INR,1.00,entity_level,true,0.000,0.00,BY Motherboard Bench & ATMPCP,99381000006435242,BY006,,,,,,Sales,,,2.00,2.00,0.00,0.00,nos,Head Office,180.00,,0.00,0.0,84239020,FALSE,Taxable,99381000000006208,GST18,18.00,64.80,Tax Group,,,,9.00,9.00,0.00,0.00,32.40,32.40,0.00,0.00,32.40,32.40,0.00,0.00,,goods,,,,360.00,910.00,1074.00,0.00,,,,,,,,0.00,Adjustment,Binsha - Spare,15,Net 15,"Bank Details
For Machine purchase                                                  
INTERWEIGHING PRIVATE LIMITED                            
ACCOUNT NO-3812693712                                          
KOTAK MAHINDRA BANK                                               
KARAMANA. Trivandrum                                               
IFSC  -  KKBK0009206  

For Spare and Cloud    
INTERWEIGHING PRIVATE LIMITED   
ACCOUNT NO-001005013936
ICICI BANK
MG ROAD,ERNAKULAM
IFSC - ICIC0000010","1. Validity : 30 days from the date of issue       
2. Payment Mode : IMPS/NEFT/RTGS               
3. Payment terms : 100% advance .                  
",,1,"Garden Complex,2nd floor",Near Govt Hospital,"Kodugallur,Thrissur",Kerala,,680664,,,"Garden Complex,2nd floor",Near Govt Hospital,"Kodugallur,Thrissur",Kerala,,680664,,,,0.00,,,0.000,,,,,,
99381000017619092,2024-10-04,,SO-12519,invoiced,,99381000005496103,MALABAR SCALES- Thirssur,99381000003083031,Head Office,KL,32-Kerala,business_registered_composition,32APLPM0458E2Z3,NO,NO,false,,Simple,INR,1.00,entity_level,true,0.000,0.00,BY Bench Dual Display Front & Back (Green & Red LED),99381000011994635,BY019,,,,,,Sales,,,2.00,2.00,0.00,0.00,nos,Head Office,275.00,,0.00,0.0,84239020,FALSE,Taxable,99381000000006208,GST18,18.00,99.00,Tax Group,,,,9.00,9.00,0.00,0.00,49.50,49.50,0.00,0.00,49.50,49.50,0.00,0.00,,goods,,,,550.00,910.00,1074.00,0.00,,,,,,,,0.00,Adjustment,Binsha - Spare,15,Net 15,"Bank Details
For Machine purchase                                                  
INTERWEIGHING PRIVATE LIMITED                            
ACCOUNT NO-3812693712                                          
KOTAK MAHINDRA BANK                                               
KARAMANA. Trivandrum                                               
IFSC  -  KKBK0009206  

For Spare and Cloud    
INTERWEIGHING PRIVATE LIMITED   
ACCOUNT NO-001005013936
ICICI BANK
MG ROAD,ERNAKULAM
IFSC - ICIC0000010","1. Validity : 30 days from the date of issue       
2. Payment Mode : IMPS/NEFT/RTGS               
3. Payment terms : 100% advance .                  
",,1,"Garden Complex,2nd floor",Near Govt Hospital,"Kodugallur,Thrissur",Kerala,,680664,,,"Garden Complex,2nd floor",Near Govt Hospital,"Kodugallur,Thrissur",Kerala,,680664,,,,0.00,,,0.000,,,,,,
99381000017622192,2024-10-04,,SO-12520,invoiced,,99381000000151001,Dynamic Enterprises,99381000003083031,Head Office,KL,32-Kerala,business_gst,32ATJPS7075B1ZN,NO,NO,false,,Simple,INR,1.00,entity_level,true,0.000,0.00,Q9LBL PRINTER MOTHERBOARD,99381000008802067,Q9719,,,,,,Sales,,,1.00,1.00,0.00,0.00,nos,Head Office,400.00,,0.00,0.0,84239020,FALSE,Taxable,99381000000006208,GST18,18.00,72.00,Tax Group,,,,9.00,9.00,0.00,0.00,36.00,36.00,0.00,0.00,36.00,36.00,0.00,0.00,,goods,,,,400.00,950.00,1121.00,0.00,,,,,,,,0.00,Adjustment,Eldho (Kerala),15,Net 15,"Bank Details
For Machine purchase                                                  
INTERWEIGHING PRIVATE LIMITED                            
ACCOUNT NO-3812693712                                          
KOTAK MAHINDRA BANK                                               
KARAMANA. Trivandrum                                               
IFSC  -  KKBK0009206  

For Spare and Cloud    
INTERWEIGHING PRIVATE LIMITED   
ACCOUNT NO-001005013936
ICICI BANK
MG ROAD,ERNAKULAM
IFSC - ICIC0000010","1. Validity : 30 days from the date of issue       
2. Payment Mode : IMPS/NEFT/RTGS               
3. Payment terms : 100% advance .                  
",,12,ROOM NO.19/747,MARKET ROAD. IRINJALAKKUDA PO,THRISSUR,Kerala,India,680121,,,ROOM NO.19/747,MARKET ROAD. IRINJALAKKUDA PO,THRISSUR,Kerala,India,680121,,,,0.00,,,0.000,,,,,,
99381000017622192,2024-10-04,,SO-12520,invoiced,,99381000000151001,Dynamic Enterprises,99381000003083031,Head Office,KL,32-Kerala,business_gst,32ATJPS7075B1ZN,NO,NO,false,,Simple,INR,1.00,entity_level,true,0.000,0.00,Freight Charges,99381000000557009,COCS,,,,,,Sales,,,1.00,1.00,0.00,0.00,kg,,50.00,,0.00,0.0,996819,FALSE,Taxable,99381000000006208,GST18,18.00,9.00,Tax Group,,,,9.00,9.00,0.00,0.00,4.50,4.50,0.00,0.00,4.50,4.50,0.00,0.00,,service,,,,50.00,950.00,1121.00,0.00,,,,,,,,0.00,Adjustment,Eldho (Kerala),15,Net 15,"Bank Details
For Machine purchase                                                  
INTERWEIGHING PRIVATE LIMITED                            
ACCOUNT NO-3812693712                                          
KOTAK MAHINDRA BANK                                               
KARAMANA. Trivandrum                                               
IFSC  -  KKBK0009206  

For Spare and Cloud    
INTERWEIGHING PRIVATE LIMITED   
ACCOUNT NO-001005013936
ICICI BANK
MG ROAD,ERNAKULAM
IFSC - ICIC0000010","1. Validity : 30 days from the date of issue       
2. Payment Mode : IMPS/NEFT/RTGS               
3. Payment terms : 100% advance .                  
",,12,ROOM NO.19/747,MARKET ROAD. IRINJALAKKUDA PO,THRISSUR,Kerala,India,680121,,,ROOM NO.19/747,MARKET ROAD. IRINJALAKKUDA PO,THRISSUR,Kerala,India,680121,,,,0.00,,,0.000,,,,,,
99381000017622192,2024-10-04,,SO-12520,invoiced,,99381000000151001,Dynamic Enterprises,99381000003083031,Head Office,KL,32-Kerala,business_gst,32ATJPS7075B1ZN,NO,NO,false,,Simple,INR,1.00,entity_level,true,0.000,0.00,ECS5W DUST COVER,99381000001523155,ECS819,,,,,,Sales,,,5.00,5.00,0.00,0.00,nos,Head Office,100.00,,0.00,0.0,84239020,FALSE,Taxable,99381000000006208,GST18,18.00,90.00,Tax Group,,,,9.00,9.00,0.00,0.00,45.00,45.00,0.00,0.00,45.00,45.00,0.00,0.00,,goods,,,,500.00,950.00,1121.00,0.00,,,,,,,,0.00,Adjustment,Eldho (Kerala),15,Net 15,"Bank Details
For Machine purchase                                                  
INTERWEIGHING PRIVATE LIMITED                            
ACCOUNT NO-3812693712                                          
KOTAK MAHINDRA BANK                                               
KARAMANA. Trivandrum                                               
IFSC  -  KKBK0009206  

For Spare and Cloud    
INTERWEIGHING PRIVATE LIMITED   
ACCOUNT NO-001005013936
ICICI BANK
MG ROAD,ERNAKULAM
IFSC - ICIC0000010","1. Validity : 30 days from the date of issue       
2. Payment Mode : IMPS/NEFT/RTGS               
3. Payment terms : 100% advance .                  
",,12,ROOM NO.19/747,MARKET ROAD. IRINJALAKKUDA PO,THRISSUR,Kerala,India,680121,,,ROOM NO.19/747,MARKET ROAD. IRINJALAKKUDA PO,THRISSUR,Kerala,India,680121,,,,0.00,,,0.000,,,,,,
